Numar Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,9.0,40.0,87.91312781585405,2.0
1,10.0,14.0,99.88135766965856,2.0
2,19.0,21.0,125.86500705120545,2.0
3,32.0,43.0,143.3391545298403,3.0
4,22.0,38.0,147.8595429603529,2.0
5,30.0,41.0,212.50176469855492,2.0
6,33.0,47.0,232.67152175768535,3.0
7,6.0,20.0,233.4122653373945,2.0
8,3.0,31.0,233.8311356513499,2.0
9,11.0,26.0,242.21478072157365,2.0
10,15.0,25.0,274.2494809070343,2.0
11,0.0,44.0,305.09585621814244,3.0
12,29.0,52.0,306.4510715583472,3.0
13,5.0,48.0,325.09249396076433,4.0
14,2.0,50.0,357.8384179113994,3.0
15,18.0,45.0,373.6363528596117,4.0
16,42.0,49.0,394.216311179535,4.0
17,1.0,34.0,402.9826298986099,2.0
18,8.0,28.0,421.76033215296314,2.0
19,7.0,53.0,448.8765812394151,4.0
20,46.0,57.0,470.96684790532754,6.0
21,13.0,16.0,513.1627422173203,2.0
22,39.0,54.0,568.0335638231508,4.0
23,36.0,55.0,579.983342672682,5.0
24,17.0,58.0,618.7938839017754,5.0
25,23.0,37.0,652.724290952926,2.0
26,51.0,62.0,724.592908404393,8.0
27,35.0,56.0,773.7969156481994,4.0
28,59.0,66.0,822.3040806273756,7.0
29,60.0,63.0,838.0142533924401,4.0
30,24.0,61.0,910.4644341479313,5.0
31,65.0,70.0,1199.1078329323536,12.0
32,64.0,72.0,1221.5353327650732,9.0
33,69.0,71.0,1443.0706650903983,8.0
34,12.0,67.0,1726.160554311,3.0
35,4.0,75.0,1818.6589761547175,9.0
36,68.0,73.0,2513.3093329322937,20.0
37,74.0,78.0,3375.1684061589535,29.0
38,76.0,77.0,5741.988477713641,12.0
39,79.0,80.0,7483.442416047381,41.0
40,27.0,81.0,14815.241909937515,42.0
