Indicativ,P_Opt,P_Opt_Silh,P_4,P_4_Silh
ab,C1,0.8883555068221369,C1,0.5259337258940487
ar,C1,0.9007030302485985,C1,0.43037749761829064
ag,C1,0.8566256031115072,C3,0.4301493551321178
bc,C1,0.8519325257343738,C3,0.536155928882027
bh,C1,0.7899100881793688,C3,0.3303376294763705
bn,C1,0.893318891204937,C1,0.6262806011885147
bt,C1,0.8951925646478506,C1,0.39257312200502903
br,C1,0.8714792073830625,C1,0.5049608988250424
bv,C1,0.8647050390004398,C3,0.4360995170850261
bz,C1,0.8965848167924096,C1,0.49653005630512564
cl,C1,0.8803322305358547,C1,0.6347791766026001
cs,C1,0.8811497037146866,C1,0.5942391296318789
cj,C1,0.4785711274674844,C2,0.5785379893310273
ct,C1,0.8174245916069169,C3,0.6013694467453465
cv,C1,0.8829857981297229,C1,0.6384822362424781
db,C1,0.8909316740929749,C1,0.24963135015384483
dj,C1,0.8342181353941842,C3,0.4695311235267049
gl,C1,0.8890778754062634,C1,0.05041561992544026
gr,C1,0.8724455997864913,C1,0.6034866479479528
gj,C1,0.8850294465079666,C1,0.4955287358902862
hr,C1,0.8956778516868125,C1,0.4181633942996703
hd,C1,0.8868123936243683,C1,0.4919887549182465
il,C1,0.866213237241811,C1,0.6017937545116095
is,C1,0.5977327326847309,C2,0.5873400235517141
if,C1,0.8710468559062077,C1,0.39392133458297557
mm,C1,0.8861229329995381,C1,0.0736083392868399
mh,C1,0.879863986625655,C1,0.622015870187347
b,C2,0.0,C4,0.0
ms,C1,0.8440180339218312,C3,0.5331950001509713
nt,C1,0.8834158770229875,C1,0.23499663361573375
ot,C1,0.8984456620278409,C1,0.5725508935578231
ph,C1,0.8416372511164508,C3,0.5885237480368812
sj,C1,0.8792743150898689,C1,0.6299675128652404
sm,C1,0.896044115921534,C1,0.5664897325122203
sb,C1,0.8947403672946408,C1,0.3667688261216852
sv,C1,0.813135551616126,C3,0.5982079716219445
tr,C1,0.8855191062988665,C1,0.5832574183703467
tm,C1,0.6840642234825273,C2,0.4830164974630979
tl,C1,0.8609211000916649,C1,0.5890686105953524
vl,C1,0.8827908106314059,C1,0.37305827260653585
vs,C1,0.8954524100053612,C1,0.4667267978721268
vn,C1,0.8953885663488403,C1,0.6124801109237512
