Niveluri de educatie, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
In invatamantul anteprescolar, Total, Bihor, Anul 2023, Numar persoane, 126
In invatamantul anteprescolar, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 66
In invatamantul anteprescolar, Total, Cluj, Anul 2023, Numar persoane, 254
In invatamantul anteprescolar, Total, Maramures, Anul 2023, Numar persoane, 57
In invatamantul anteprescolar, Total, Satu Mare, Anul 2023, Numar persoane, 77
In invatamantul anteprescolar, Total, Salaj, Anul 2023, Numar persoane, 27
In invatamantul anteprescolar, Total, Alba, Anul 2023, Numar persoane, 53
In invatamantul anteprescolar, Total, Brasov, Anul 2023, Numar persoane, 76
In invatamantul anteprescolar, Total, Covasna, Anul 2023, Numar persoane, 62
In invatamantul anteprescolar, Total, Harghita, Anul 2023, Numar persoane, 47
In invatamantul anteprescolar, Total, Mures, Anul 2023, Numar persoane, 109
In invatamantul anteprescolar, Total, Sibiu, Anul 2023, Numar persoane, 0
In invatamantul anteprescolar, Total, Bacau, Anul 2023, Numar persoane, 69
In invatamantul anteprescolar, Total, Botosani, Anul 2023, Numar persoane, 8
In invatamantul anteprescolar, Total, Iasi, Anul 2023, Numar persoane, 104
In invatamantul anteprescolar, Total, Neamt, Anul 2023, Numar persoane, 44
In invatamantul anteprescolar, Total, Suceava, Anul 2023, Numar persoane, 16
In invatamantul anteprescolar, Total, Vaslui, Anul 2023, Numar persoane, 35
In invatamantul anteprescolar, Total, Braila, Anul 2023, Numar persoane, 19
In invatamantul anteprescolar, Total, Buzau, Anul 2023, Numar persoane, 52
In invatamantul anteprescolar, Total, Constanta, Anul 2023, Numar persoane, 33
In invatamantul anteprescolar, Total, Galati, Anul 2023, Numar persoane, 3
In invatamantul anteprescolar, Total, Tulcea, Anul 2023, Numar persoane, 29
In invatamantul anteprescolar, Total, Vrancea, Anul 2023, Numar persoane, 13
In invatamantul anteprescolar, Total, Arges, Anul 2023, Numar persoane, 83
In invatamantul anteprescolar, Total, Calarasi, Anul 2023, Numar persoane, 8
In invatamantul anteprescolar, Total, Dambovita, Anul 2023, Numar persoane, 101
In invatamantul anteprescolar, Total, Giurgiu, Anul 2023, Numar persoane, 6
In invatamantul anteprescolar, Total, Ialomita, Anul 2023, Numar persoane, 28
In invatamantul anteprescolar, Total, Prahova, Anul 2023, Numar persoane, 56
In invatamantul anteprescolar, Total, Teleorman, Anul 2023, Numar persoane, 22
In invatamantul anteprescolar, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 460
In invatamantul anteprescolar, Total, Dolj, Anul 2023, Numar persoane, 46
In invatamantul anteprescolar, Total, Gorj, Anul 2023, Numar persoane, 50
In invatamantul anteprescolar, Total, Mehedinti, Anul 2023, Numar persoane, 27
In invatamantul anteprescolar, Total, Olt, Anul 2023, Numar persoane, 49
In invatamantul anteprescolar, Total, Valcea, Anul 2023, Numar persoane, 7
In invatamantul anteprescolar, Total, Arad, Anul 2023, Numar persoane, 32
In invatamantul anteprescolar, Total, Caras-Severin, Anul 2023, Numar persoane, 30
In invatamantul anteprescolar, Total, Hunedoara, Anul 2023, Numar persoane, 39
In invatamantul anteprescolar, Total, Timis, Anul 2023, Numar persoane, 79
In invatamantul prescolar, Total, Bihor, Anul 2023, Numar persoane, 1408
In invatamantul prescolar, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 599
In invatamantul prescolar, Total, Cluj, Anul 2023, Numar persoane, 1800
In invatamantul prescolar, Total, Maramures, Anul 2023, Numar persoane, 931
In invatamantul prescolar, Total, Satu Mare, Anul 2023, Numar persoane, 776
In invatamantul prescolar, Total, Salaj, Anul 2023, Numar persoane, 510
In invatamantul prescolar, Total, Alba, Anul 2023, Numar persoane, 655
In invatamantul prescolar, Total, Brasov, Anul 2023, Numar persoane, 1279
In invatamantul prescolar, Total, Covasna, Anul 2023, Numar persoane, 482
In invatamantul prescolar, Total, Harghita, Anul 2023, Numar persoane, 841
In invatamantul prescolar, Total, Mures, Anul 2023, Numar persoane, 1210
In invatamantul prescolar, Total, Sibiu, Anul 2023, Numar persoane, 1026
In invatamantul prescolar, Total, Bacau, Anul 2023, Numar persoane, 1083
In invatamantul prescolar, Total, Botosani, Anul 2023, Numar persoane, 671
In invatamantul prescolar, Total, Iasi, Anul 2023, Numar persoane, 1604
